kwp,tipo,lista,pix,rs_wp,overload_pct,desc_lista_pix_pct,na_curva,fonte
5.04,micro,7774.92,7619.43,1.51,12,2,1,"portal"
5.04,string,7993.41,7833.54,1.55,68,2,1,"portal"
10.08,string,14386.31,14098.59,1.4,68,2,1,"portal"
10.08,micro,15195.21,14891.31,1.48,34.4,2,1,"portal"
15.12,string,22136.89,21694.15,1.43,51.2,2,1,"portal"
15.12,micro,22243.54,21798.67,1.44,51.2,2,1,"portal"
22.05,string,29980.83,29381.22,1.33,,2,0,"EXCEÇÃO · desconto vendedor (fora da curva)"
22.05,string,33916.28,33237.95,1.51,47,2,1,"portal · referência comercial"
22.05,micro,34244.76,33559.86,1.52,8.89,2,1,"portal · referência comercial"
30.24,string,44230.19,43345.59,1.43,51.2,2,1,"portal"
30.24,micro,46649.55,45716.56,1.51,12,2,1,"portal"
39.69,string,55878.4,54760.84,1.38,47,2,1,"portal"
39.69,micro,58479.91,57310.31,1.44,44.33,2,1,"portal"
